id,nome,tipoEstacao,codigoAdicional,codigoNomeBacia,codigoNomeSubBacia,nomeRio,nomeEstado,nomeMunicipio,responsavelSigla,operadoraSigla,areaDrenagem,latitude,longitude,altitude
10014500,JIVINO VERDE SALIDA DEL PUEBLO JIVINIO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.1883,-76.8331,
10014600,LIMONCOCHA SECTOR SHUSHUFINDI,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.3528,-76.6114,
10015000,PUERTO FRANCISCO DE ORELLANA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,12200.0,-0.4736,-76.9753,298.0
10017000,NUEVO ROCAFUERTE,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,27300.0,-0.9167,-75.3961,189.0
10017100,LA SOFIA (PUENTE),Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,0.3575,-77.6494,
10017200,ROSA FLORIDA SECTOR EL PARAISO (PUENTE),Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,0.2561,-77.4769,
10017250,PACAYACU SECTOR SHUARA CINCO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,0.0008,-77.5686,
10017280,PACAYACU SECTOR PUENTE,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,0.0603,-77.5514,
10017300,EL DORADO DE CASCALES SECTOR PUENTE COLGANTE,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,0.0706,-77.25,
10017400,SANTA CECILIA SECTOR BATALLÓN SELVA 56 TUNGURAHUA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,0.0606,-77.0011,
