nome,latitude,longitude
PTO LEGUIZANO,-0.3164,-74.7311
SAN RAFAEL,-1.71666666666667,-73.2333333333333
ENCANTO EL,-1.7667,-73.2
ESTRECHO-MARANDUA,-2.4439,-72.6731
CHORRERA LA,-1.4333,-72.75
ARICA,-2.1467,-71.7333
BICARCO,-2.4975,-70.3242
TARAPACA,-2.8667,-69.7333
PTE CANAL D,1.18333333333333,-76.9333333333333
STA LUCIA,-2.8883,-69.8628
PTE TEXAS,0.5936,-76.5775
PICUDO EL,0.4856,-76.8642
SAN JOAQUIN,0.3356,-76.0811
CHIPAROS LO,0.1208,-75.8603
REFUGIO EL,-0.5836,-74.3831
PTO TOLOZA,-1.0172,-74.1503
TERESINA,-4.3578,-69.7336
SÃO PAULO DE OLIVENÇA,-3.4353,-69.0167
SÃO PAULO DE OLIVENÇA,-3.4569,-68.9119
TRÊS BOCAS,-3.9917,-68.9528
IPIRANGA NOVO,-2.9297,-69.6931
IPIRANGA VELHO,-2.9417,-69.5228
SANTO ANTÔNIO DO IÇÁ,-3.1017,-67.9356
COLOCAÇÃO CAXIAS NOVO,-4.6661,-68.1483
CONCEIÇÃO (EX. ILHA DA NOVA SORTE),-4.8967,-68.6633
NOVO CUJUBIM,-4.6514,-68.3244
TANIBUCA,-4.745,-68.1353
BARREIRA ALTA,-4.2211,-67.8925
BARREIRA ALTA NOVA (MAROÁ),-4.5711,-68.0111
BARREIRA BRANCA,-4.3256,-67.3444
PORTO SEGURO,-3.3372,-67.4917
PORTO ANTUNES,-2.8572,-66.9311
COPATANA (PORTO ANTUNES AUX),-2.8333,-66.9167
FONTE BOA,-2.4853,-66.0267
FONTE BOA,-2.4914,-66.0617
FOZ DO BREU,-9.4097,-72.7158
MARECHAL THAUMATURGO,-9.4097,-72.7158
MARECHAL THAUMATURGO,-8.9381,-72.7706
THAUMATURGO,-8.9458,-72.7847
PORTO WALTER,-8.2539,-72.7336
PORTO WALTER,-8.2672,-72.7411
SERRA DO MOA,-7.4483,-73.6644
BASE SÃO SALVADOR,-7.4125,-73.1914
PONTE DO MOA,-7.6219,-72.7961
CRUZEIRO DO SUL,-7.6333,-72.6603
CRUZEIRO DO SUL,-7.6331,-72.6617
CRUZEIRO DO SUL - AUXILIAR,-7.6331,-72.6617
CRUZEIRO DO SUL,-7.6331,-72.6617
COMUNIDADE GUARANI,-7.9728,-72.0444
SERINGAL BOM FUTURO,-7.8492,-72.0547
PONTE DO RIO LIBERDADE,-7.7994,-72.0211
HUMAITÁ,-7.06277777777778,-71.7194444444444
IPIXUNA,-7.0556,-71.6892
FAZENDA PARANACRE,-7.9511,-71.4822
SERINGAL SANTO AMARO,-7.2667,-70.9833
EIRUNEPÉ - MONTANTE,-6.6844,-69.8811
FAZENDA MOURÃO,-6.8925,-69.9181
JORDÃO,-9.1883,-71.9525
SERINGAL SÃO LUIZ,-8.6611,-71.5744
SERINGAL SÃO LUIZ,-8.6181,-71.5517
TARAUACÁ,-8.6181,-71.5517
PONTE DE TARAUACÁ,-8.1519,-70.7456
EIRUNEPÉ - JOÃO PESSOA,-6.66666666666667,-69.8666666666667
TARAUACÁ - JUSANTE,-8.1458,-70.7153
TARAUACÁ,-8.1458,-70.7153
SERINGAL MUCURIPE,-8.7528,-71.0661
SERINGAL SANTA HELENA,-8.6858,-70.5511
FEIJÓ,-8.1636,-70.3564
FEIJÓ,-8.1367,-70.3461
FEIJÓ,-7.8533,-70.0625
ENVIRA,-7.4281,-70.0225
SANTOS DUMONT,-6.4403,-68.2461
CARAUARI,-4.91,-66.8242
GAVIÃO,-4.8392,-66.8506
FORTE DAS GRAÇAS,-3.6414,-66.1031
PIEDRA LISA,1.2,-76.65
PTO MOCOA,1.13333333333333,-76.6166666666667
PTE PITALITO,1.16666666666667,-76.65
ANGOSTURAS,0.3833,-76.35
PIEDRA LISA,1.2,-76.65
YUNGUILLO,1.4,-76.6
MILAN,1.6,-75.6
DIAMANTE EL,1.56666666666667,-75.6666666666667
ROSÁRIO EL,1.7167,-75.6667
VENECIA,1.5833,-75.5167
FLORÊNCIA,1.6,-75.6
BOCATOMA N,1.56666666666667,-75.2833333333333
MORELIA,1.51666666666667,-75.7
LARANDIA,1.48138888888889,-75.4833333333333
